"1","11","11","ACEH"
"2","12","12","SUMATERA UTARA"
"3","13","13","SUMATERA BARAT"
"4","14","14","RIAU"
"5","15","15","JAMBI"
"6","16","16","SUMATERA SELATAN"
"7","17","17","BENGKULU"
"8","18","18","LAMPUNG"
"9","19","19","KEPULAUAN BANGKA"
"10","21","21","KEPULAUAN RIAU"
"11","31","31","DKI JAKARTA"
"12","32","32","JAWA BARAT"
"13","33","33","JAWA TENGAH"
"14","34","34","DI YOGYAKARTA"
"15","35","35","JAWA TIMUR"
"16","36","36","BANTEN"
"17","51","51","BALI"
"18","52","52","NUSA TENGGARA BARAT"
"19","53","53","NUSA TENGGARA TIMUR"
"20","61","61","KALIMANTAN BARAT"
"21","62","62","KALIMANTAN TENGAH"
"22","63","63","KALIMANTAN SELATAN"
"23","64","64","KALIMANTAN TIMUR"
"24","65","65","KALIMANTAN UTARA"
"25","71","71","SULAWESI UTARA"
"26","72","72","SULAWESI TENGAH"
"27","73","73","SULAWESI SELATAN"
"28","74","74","SULAWESI TENGGARA"
"29","75","75","GORONTALO"
"30","76","76","SULAWESI BARAT"
"31","81","81","MALUKU"
"32","82","82","MALUKU UTARA"
"33","92","91","PAPUA BARAT"
"34","91","94","PAPUA"
